assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	RXXVG45    ,	,	2440,	2022/3/25 下午 06:59:06,	S2784     ,	Y,	2070,	RXXVG45    ,	ChipMOS      ,	STBGA24D4U     ,	024XJVG014               ,	PPG652Y2                                          ,	6,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP02GG-RILI                                   ,	C02PO-100556767          ,	N,	N,	0,	0,	20220325,	185906,	2022/3/25 上午 12:00:00,	ABU024XJ8006A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP02GG-RILI                                   ,	SWR         ,	2022/3/28 上午 12:00:00,	2022/3/29 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/3/30 上午 12:00:00,	,	12,	 E,	 A A A A C                                                                      ,	A0801CB1190         ,	4,	Y3,	     ,	VG51    ,	1081G1250B               ,	20220321029.E  ,	1,	                                   ,	RXXVG45,	RXXVG45    ,	,	2440,	2022/3/25 下午 06:59:06,	S2784     ,	Y,
	RXXVG45    ,	,	2450,	2022/3/25 下午 06:59:06,	S2784     ,	Y,	2070,	RXXVG45    ,	ChipMOS      ,	STBGA24D4U     ,	024XJVG014               ,	PPG652Y2                                          ,	6,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP02GG-RILI                                   ,	C02PO-100556767          ,	N,	N,	0,	0,	20220325,	185906,	2022/3/25 上午 12:00:00,	ABU024XJ8006A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP02GG-RILI                                   ,	SWR         ,	2022/3/28 上午 12:00:00,	2022/3/29 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/3/30 上午 12:00:00,	,	12,	 E,	 A A A A C                                                                      ,	A0801CB1190         ,	4,	Y3,	     ,	VG51    ,	1081G1250B               ,	20220321029.E  ,	1,	                                   ,	RXXVG45,	RXXVG45    ,	,	2450,	2022/3/25 下午 06:59:06,	S2784     ,	Y,
	RXXVG45    ,	,	2460,	2022/3/25 下午 06:59:06,	S2784     ,	Y,	2070,	RXXVG45    ,	ChipMOS      ,	STBGA24D4U     ,	024XJVG014               ,	PPG652Y2                                          ,	6,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP02GG-RILI                                   ,	C02PO-100556767          ,	N,	N,	0,	0,	20220325,	185906,	2022/3/25 上午 12:00:00,	ABU024XJ8006A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP02GG-RILI                                   ,	SWR         ,	2022/3/28 上午 12:00:00,	2022/3/29 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/3/30 上午 12:00:00,	,	12,	 E,	 A A A A C                                                                      ,	A0801CB1190         ,	4,	Y3,	     ,	VG51    ,	1081G1250B               ,	20220321029.E  ,	1,	                                   ,	RXXVG45,	RXXVG45    ,	,	2460,	2022/3/25 下午 06:59:06,	S2784     ,	Y,
	RXXVG45    ,	,	2470,	2022/3/25 下午 06:59:06,	S2784     ,	Y,	2070,	RXXVG45    ,	ChipMOS      ,	STBGA24D4U     ,	024XJVG014               ,	PPG652Y2                                          ,	6,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP02GG-RILI                                   ,	C02PO-100556767          ,	N,	N,	0,	0,	20220325,	185906,	2022/3/25 上午 12:00:00,	ABU024XJ8006A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP02GG-RILI                                   ,	SWR         ,	2022/3/28 上午 12:00:00,	2022/3/29 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/3/30 上午 12:00:00,	,	12,	 E,	 A A A A C                                                                      ,	A0801CB1190         ,	4,	Y3,	     ,	VG51    ,	1081G1250B               ,	20220321029.E  ,	1,	                                   ,	RXXVG45,	RXXVG45    ,	,	2470,	2022/3/25 下午 06:59:06,	S2784     ,	Y,
	RXXVG45    ,	,	2480,	2022/3/25 下午 06:59:06,	S2784     ,	Y,	2070,	RXXVG45    ,	ChipMOS      ,	STBGA24D4U     ,	024XJVG014               ,	PPG652Y2                                          ,	6,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP02GG-RILI                                   ,	C02PO-100556767          ,	N,	N,	0,	0,	20220325,	185906,	2022/3/25 上午 12:00:00,	ABU024XJ8006A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP02GG-RILI                                   ,	SWR         ,	2022/3/28 上午 12:00:00,	2022/3/29 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/3/30 上午 12:00:00,	,	12,	 E,	 A A A A C                                                                      ,	A0801CB1190         ,	4,	Y3,	     ,	VG51    ,	1081G1250B               ,	20220321029.E  ,	1,	                                   ,	RXXVG45,	RXXVG45    ,	,	2480,	2022/3/25 下午 06:59:06,	S2784     ,	Y,
	RXXVG45    ,	,	2490,	2022/3/25 下午 06:59:06,	S2784     ,	Y,	2070,	RXXVG45    ,	ChipMOS      ,	STBGA24D4U     ,	024XJVG014               ,	PPG652Y2                                          ,	6,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP02GG-RILI                                   ,	C02PO-100556767          ,	N,	N,	0,	0,	20220325,	185906,	2022/3/25 上午 12:00:00,	ABU024XJ8006A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP02GG-RILI                                   ,	SWR         ,	2022/3/28 上午 12:00:00,	2022/3/29 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/3/30 上午 12:00:00,	,	12,	 E,	 A A A A C                                                                      ,	A0801CB1190         ,	4,	Y3,	     ,	VG51    ,	1081G1250B               ,	20220321029.E  ,	1,	                                   ,	RXXVG45,	RXXVG45    ,	,	2490,	2022/3/25 下午 06:59:06,	S2784     ,	Y,
	RXXVG45    ,	,	6000,	2022/3/25 下午 06:59:06,	S2784     ,	Y,	2070,	RXXVG45    ,	ChipMOS      ,	STBGA24D4U     ,	024XJVG014               ,	PPG652Y2                                          ,	6,	0,	2070,	A2,	N,	TSOP  ,	FQ,	IS25LP02GG-RILI                                   ,	C02PO-100556767          ,	N,	N,	0,	0,	20220325,	185906,	2022/3/25 上午 12:00:00,	ABU024XJ8006A       ,	,	      ,	M,	                         ,	          ,	               ,	IS25LP02GG-RILI                                   ,	SWR         ,	2022/3/28 上午 12:00:00,	2022/3/29 上午 12:00:00,	2022/3/30 上午 12:00:00,	2022/3/30 上午 12:00:00,	,	12,	 E,	 A A A A C                                                                      ,	A0801CB1190         ,	4,	Y3,	     ,	VG51    ,	1081G1250B               ,	20220321029.E  ,	1,	                                   ,	RXXVG45,	RXXVG45    ,	,	6000,	2022/3/25 下午 06:59:06,	S2784     ,	Y,
	N31BWGT32  ,	2,	2470,	2020/8/9 上午 04:31:42,	WSM       ,	Y,	3720,	N31BWGT32  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE391A                                          ,	1683,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K3H50                   ,	N,	N,	0,	0,	20201019,	100739,	2020/7/30 上午 12:00:00,	                    ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	PROD        ,	2020/7/31 上午 12:00:00,	2020/8/1 上午 12:00:00,	2020/8/2 上午 12:00:00,	2020/8/3 上午 12:00:00,	2020/8/3 上午 12:00:00,	8 ,	,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	IC不在位置上                       ,	N31BWGT,	N31BWGT32  ,	2,	2470,	2020/8/9 上午 04:31:42,	WSM       ,	Y,
	N36BWBU01  ,	2,	2470,	2020/9/8 上午 11:29:35,	WSM       ,	Y,	3720,	N36BWBU01  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200912,	115155,	2020/9/7 上午 12:00:00,	                    ,	,	PC    ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	待客戶指示                         ,	N36BWBU,	N36BWBU01  ,	2,	2470,	2020/9/8 上午 11:29:35,	WSM       ,	Y,
	N36BWBU05  ,	2,	2470,	2020/9/8 下午 07:43:51,	WSM       ,	Y,	3720,	N36BWBU05  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200908,	194350,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU05  ,	2,	2470,	2020/9/8 下午 07:43:51,	WSM       ,	Y,
	N36BWBU09  ,	2,	2470,	2020/9/9 上午 01:41:30,	WSM       ,	Y,	3720,	N36BWBU09  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	14130,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU09  ,	2,	2470,	2020/9/9 上午 01:41:30,	WSM       ,	Y,
	N36BWBU13  ,	2,	2470,	2020/9/9 上午 10:23:05,	WSM       ,	Y,	3720,	N36BWBU13  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	102304,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU13  ,	2,	2470,	2020/9/9 上午 10:23:05,	WSM       ,	Y,
	N36BWBU17  ,	2,	2470,	2020/9/9 下午 04:29:11,	WSM       ,	Y,	3720,	N36BWBU17  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	162911,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU17  ,	2,	2470,	2020/9/9 下午 04:29:11,	WSM       ,	Y,
	N36BWBU21  ,	2,	2470,	2020/9/9 下午 10:53:11,	WSM       ,	Y,	3720,	N36BWBU21  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200909,	225310,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU21  ,	2,	2470,	2020/9/9 下午 10:53:11,	WSM       ,	Y,
	N36BWBU25  ,	2,	2470,	2020/9/10 上午 06:51:17,	WSM       ,	Y,	3720,	N36BWBU25  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200910,	65118,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU25  ,	2,	2470,	2020/9/10 上午 06:51:17,	WSM       ,	Y,
	N36BWBU29  ,	2,	2470,	2020/9/10 下午 02:45:23,	WSM       ,	Y,	3720,	N36BWBU29  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200910,	144523,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU29  ,	2,	2470,	2020/9/10 下午 02:45:23,	WSM       ,	Y,
	N36BWBU33  ,	2,	2470,	2020/9/10 下午 10:01:36,	WSM       ,	Y,	3720,	N36BWBU33  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200910,	220135,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU33  ,	2,	2470,	2020/9/10 下午 10:01:36,	WSM       ,	Y,
	N36BWBU37  ,	2,	2470,	2020/9/11 上午 05:10:13,	WSM       ,	Y,	3720,	N36BWBU37  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	51012,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU37  ,	2,	2470,	2020/9/11 上午 05:10:13,	WSM       ,	Y,
	N36BWBU41  ,	2,	2470,	2020/9/11 下午 01:01:32,	WSM       ,	Y,	3720,	N36BWBU41  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	130132,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU41  ,	2,	2470,	2020/9/11 下午 01:01:32,	WSM       ,	Y,
	N36BWBU45  ,	2,	2470,	2020/9/11 下午 08:52:49,	WSM       ,	Y,	3720,	N36BWBU45  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	205249,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU45  ,	2,	2470,	2020/9/11 下午 08:52:49,	WSM       ,	Y,
